"Address","Content Type","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://wealthsimplebonus.ca/_astro/wealthsimple-crypto-vs-newton-vs-shakepay.BhNWIdjw.png","image/png","18","Indexable","",""
"https://wealthsimplebonus.ca/_astro/referral-bonus-terms-conditions.DAreNNc5.png","image/png","15","Indexable","",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-vs-questrade-2025.j6tt_9H0.png","image/png","8","Indexable","",""
"https://wealthsimplebonus.ca/images/en/wealthsimple-promo-code-vs-referral-code.webp","image/webp","11","Indexable","",""
"https://wealthsimplebonus.ca/_astro/referral-ladder-challenge.DaWe2m3-.png","image/png","11","Indexable","",""
"https://wealthsimplebonus.ca/_astro/isabelle-reuben.CkBqP7rZ.jpg","image/jpeg","22","Indexable","",""
"https://wealthsimplebonus.ca/_astro/conditions-prime-parrainage.CE9QxhL_.png","image/png","6","Indexable","",""
"https://wealthsimplebonus.ca/images/fr/wealthsimple-code-promo-vs-parrainage.webp","image/webp","6","Indexable","",""
"https://wealthsimplebonus.ca/_astro/defi-echelle-parrainage.BPM9XMsg.png","image/png","6","Indexable","",""
"https://wealthsimplebonus.ca/_astro/core-vs-premium-vs-generation-fr.sbx_5Zxs.png","image/png","4","Indexable","",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-vs-questrade.DPLJ6fLX.png","image/png","6","Indexable","",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-cash-account-review.Dl1LdSpk.png","image/png","8","Indexable","",""
"https://wealthsimplebonus.ca/_astro/wealthsimple-tax-review-2026.CWl_e8EY.png","image/png","8","Indexable","",""
"https://wealthsimplebonus.ca/_astro/core-vs-premium-vs-generation.ul9Rb3bU.png","image/png","7","Indexable","",""
"https://wealthsimplebonus.ca/_astro/evaluation-compte-wealthsimple-comptant.C7tAq4OQ.png","image/png","3","Indexable","",""
"https://wealthsimplebonus.ca/_astro/evaluation-wealthsimple-impot.xOrm5Rop.png","image/png","3","Indexable","",""
