"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-terms","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.024","",""
"https://wealthsimplebonus.ca/fr/tag/referral-conditions","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.022","",""
"https://wealthsimplebonus.ca/fr/category/referral-codes","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.019","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-requirements","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.020","",""
"https://wealthsimplebonus.ca/fr/tag/referral-bonus-eligibility","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.063","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-2026","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.041","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-code","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.061","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-bonus","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.060","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-sign-up-bonus","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.058","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-promo-code","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.060","",""
"https://wealthsimplebonus.ca/fr/category/comparisons","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.056","",""
"https://wealthsimplebonus.ca/fr/tag/bitcoin-canada","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.059","",""
"https://wealthsimplebonus.ca/fr/tag/crypto-trading","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.020","",""
"https://wealthsimplebonus.ca/fr/tag/newton-vs-shakepay","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.023","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-crypto","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.061","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-ladder","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.072","",""
"https://wealthsimplebonus.ca/fr/tag/add-referral-code","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.059","",""
"https://wealthsimplebonus.ca/fr/tag/wealthsimple-promotions","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.020","",""
"https://wealthsimplebonus.ca/fr/tag/high-net-worth","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.021","",""
"https://wealthsimplebonus.ca/fr/tag/portfolio-transfer","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.022","",""
"https://wealthsimplebonus.ca/fr/tag/bonus-comparison","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.019","",""
"https://wealthsimplebonus.ca/fr/tag/referral-code","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.055","",""
"https://wealthsimplebonus.ca/fr/tag/existing-clients","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.058","",""
"https://wealthsimplebonus.ca/fr/tag/usd5000-bonus","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.055","",""
